"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"Append-AppService-httpsonly";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/append-appservice-httpsonly";"1.0.0";"Mg";"alz";"Append-AppService-httpsonly";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Append-AppService-httpsonly.html"
"Policy";"Append-AppService-latestTLS";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/append-appservice-latesttls";"1.2.0";"Mg";"alz";"Append-AppService-latestTLS";"1.2.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Append-AppService-latestTLS.html"
"Policy";"Append-KV-SoftDelete";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/append-kv-softdelete";"1.0.0";"Mg";"alz";"Append-KV-SoftDelete";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Append-KV-SoftDelete.html"
"Policy";"Append-Redis-disableNonSslPort";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/append-redis-disablenonsslport";"1.0.1";"Mg";"alz";"Append-Redis-disableNonSslPort";"1.0.1";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Append-Redis-disableNonSslPort.html"
"Policy";"Append-Redis-sslEnforcement";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/append-redis-sslenforcement";"1.1.0";"Mg";"alz";"Append-Redis-sslEnforcement";"1.1.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Append-Redis-sslEnforcement.html"
"Policy";"Audit-AzureHybridBenefit";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/audit-azurehybridbenefit";"1.0.0";"Mg";"alz";"Audit-AzureHybridBenefit";"1.0.0";"upToDate";"True";"PolicyRule Hash, Policy Name, MetaData Tag";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-AzureHybridBenefit.html"
"Policy";"Audit-Disks-UnusedResourcesCostOptimization";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/audit-disks-unusedresourcescostoptimization";"1.0.0";"Mg";"alz";"Audit-Disks-UnusedResourcesCostOptimization";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-Disks-UnusedResourcesCostOptimization.html"
"Policy";"Audit-MachineLearning-PrivateEndpointId";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/audit-machinelearning-privateendpointid";"1.0.0";"Mg";"alz";"Audit-MachineLearning-PrivateEndpointId";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-MachineLearning-PrivateEndpointId.html"
"Policy";"Audit-PrivateLinkDnsZones";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/audit-privatelinkdnszones";"1.0.2";"Mg";"alz";"Audit-PrivateLinkDnsZones";"1.0.2";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-PrivateLinkDnsZones.html"
"Policy";"Audit-PublicIpAddresses-UnusedResourcesCostOptimization";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/audit-publicipaddresses-unusedresourcescostoptimization";"1.1.0";"Mg";"alz";"Audit-PublicIpAddresses-UnusedResourcesCostOptimization";"1.1.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-PublicIpAddresses-UnusedResourcesCostOptimization.html"
"Policy";"Audit-ServerFarms-UnusedResourcesCostOptimization";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/audit-serverfarms-unusedresourcescostoptimization";"1.0.0";"Mg";"alz";"Audit-ServerFarms-UnusedResourcesCostOptimization";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-ServerFarms-UnusedResourcesCostOptimization.html"
"Policy";"Audit-Tags-Mandatory";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/audit-tags-mandatory";"1.0.0";"Mg";"alz";"Audit-Tags-Mandatory";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-Tags-Mandatory.html"
