"plan";"subscriptionId";"subscriptionName";"subscriptionMgPath";"pricingTier";"freeTrialRemainingTime";"AI_enablementTime";"AI_ext_AIPromptEvidence";"AI_ext_AIPromptSharingWithPurview";"AI_resourcesCoverageStatus";"Api_resourcesCoverageStatus";"AppServices_enablementTime";"AppServices_resourcesCoverageStatus";"Arm_enablementTime";"Arm_resourcesCoverageStatus";"Arm_subPlan";"CloudPosture_enablementTime";"CloudPosture_ext_AgentlessDiscoveryForKubernetes";"CloudPosture_ext_AgentlessServerlessPosture";"CloudPosture_ext_AgentlessVmScanning";"CloudPosture_ext_ApiPosture";"CloudPosture_ext_ContainerRegistriesVulnerabilityAssessments";"CloudPosture_ext_EntraPermissionsManagement";"CloudPosture_ext_SensitiveDataDiscovery";"CloudPosture_resourcesCoverageStatus";"ContainerRegistry_deprecated";"ContainerRegistry_replacedBy";"ContainerRegistry_resourcesCoverageStatus";"Containers_enablementTime";"Containers_ext_AgentlessDiscoveryForKubernetes";"Containers_ext_AgentlessVmScanning";"Containers_ext_ContainerIntegrityContribution";"Containers_ext_ContainerRegistriesVulnerabilityAssessments";"Containers_ext_ContainerSensor";"Containers_resourcesCoverageStatus";"CosmosDbs_enablementTime";"CosmosDbs_resourcesCoverageStatus";"Discovery_resourcesCoverageStatus";"Dns_deprecated";"Dns_replacedBy";"Dns_resourcesCoverageStatus";"FoundationalCspm_resourcesCoverageStatus";"KeyVaults_enablementTime";"KeyVaults_resourcesCoverageStatus";"KeyVaults_subPlan";"KubernetesService_deprecated";"KubernetesService_replacedBy";"KubernetesService_resourcesCoverageStatus";"OpenSourceRelationalDatabases_enablementTime";"OpenSourceRelationalDatabases_resourcesCoverageStatus";"SqlServers_enablementTime";"SqlServers_resourcesCoverageStatus";"SqlServerVirtualMachines_enablementTime";"SqlServerVirtualMachines_resourcesCoverageStatus";"StorageAccounts_enablementTime";"StorageAccounts_ext_OnUploadMalwareScanning";"StorageAccounts_ext_OnUploadMalwareScanning_CapGBPerMonthPerStorageAccount";"StorageAccounts_ext_SensitiveDataDiscovery";"StorageAccounts_resourcesCoverageStatus";"StorageAccounts_subPlan";"VirtualMachines_ext_AgentlessVmScanning";"VirtualMachines_ext_FileIntegrityMonitoring";"VirtualMachines_ext_MdeDesignatedSubscription";"VirtualMachines_ext_MicrosoftDefenderforEndpoint";"VirtualMachines_resourcesCoverageStatus";"VirtualMachines_subPlan"
"AI";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";"11/10/2025 21:04:47";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AI";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";"11/10/2025 21:04:49";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AI";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";"11/10/2025 21:04:46";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AI";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";"10/01/2025 18:06:47";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Api";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Free";"P30D";;;;;"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Api";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Free";"P30D";;;;;"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Api";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Free";"P30D";;;;;"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Api";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Free";"P30D";;;;;"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AppServices";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;"08/13/2024 16:10:08";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AppServices";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
