"Subscription";"SubscriptionId";"SubscriptionMGpath";"Provider";"State"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"ArizeAi.ObservabilityEval";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Astronomer.Astro";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Dell.Storage";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Dynatrace.Observability";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"GitHub.Network";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Informatica.DataManagement";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"LambdaTest.HyperExecute";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Liftrbasic.Samplerp";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AAD";"NotRegistered"
"azr-mge-dev-sub-02";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Microsoft.AadCustomSecurityAttributesDiagnosticSettings";"NotRegistered"
