"subscriptionId";"subscriptionName";"mgPath";"type";"sku_capacity";"sku_family";"sku_name";"sku_tier";"kind";"id";"name";"location";"tags";"createdTime";"changedTime";"cafResourceNamingResult";"cafResourceNaming";"cafResourceNamingFriendlyName"
"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"microsoft.insights/actiongroups";;;;;;"/subscriptions/1c083bf3-30ac-4804-aa81-afddc58c78dc/resourcegroups/default-activitylogalerts/providers/microsoft.insights/actiongroups/agowner";"agowner";"global";;"12/11/2025 11:14:37";"12/11/2025 11:24:38";"failed";"ag-";"Azure Monitor action group"
"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"microsoft.eventgrid/systemtopics";;;;;;"/subscriptions/1c083bf3-30ac-4804-aa81-afddc58c78dc/resourcegroups/mcapsgovernance/providers/microsoft.eventgrid/systemtopics/mcapsaa81afddc58c78dc-6bf111f7-90b3-4c85-b3e4-afb0e79eb90e";"mcapsaa81afddc58c78dc-6bf111f7-90b3-4c85-b3e4-afb0e79eb90e";"westus2";;"01/21/2026 10:39:04";"01/21/2026 10:49:04";"n/a";"n/a";"n/a"
"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"microsoft.storage/storageaccounts";;;"Standard_LRS";"Standard";"StorageV2";"/subscriptions/1c083bf3-30ac-4804-aa81-afddc58c78dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcapsaa81afddc58c78dc";"mcapsaa81afddc58c78dc";"westus2";"@{CreatedByPolicy=MCAPS Governance Team; Action=Do Not Delete; Contact=https://aka.ms/mcapsazuresupport}";"01/21/2026 02:10:32";"01/21/2026 02:20:54";"failed";"st, stvm";"Storage account, VM storage account"
"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"microsoft.security/automations";;;;;;"/subscriptions/1c083bf3-30ac-4804-aa81-afddc58c78dc/resourcegroups/rg-asc-export-eastus2/providers/microsoft.security/automations/exporttoworkspace";"exporttoworkspace";"eastus2";"";"01/21/2026 02:10:46";"01/21/2026 02:20:45";"n/a";"n/a";"n/a"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/virtualnetworks";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-connectivity-centralus/providers/microsoft.network/virtualnetworks/alz-hub-centralus";"alz-hub-centralus";"centralus";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:18:02";"01/21/2026 00:28:05";"failed";"vnet-";"Virtual network"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/dnsresolvers";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-connectivity-eastus2/providers/microsoft.network/dnsresolvers/pdr-hub-dns-eastus2";"pdr-hub-dns-eastus2";"eastus2";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:18:14";"01/21/2026 00:28:35";"n/a";"n/a";"n/a"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/dnsresolvers/inboundendpoints";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-connectivity-eastus2/providers/microsoft.network/dnsresolvers/pdr-hub-dns-eastus2/inboundendpoints/dns";"pdr-hub-dns-eastus2/dns";"eastus2";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:23:41";"01/21/2026 00:36:38";"n/a";"n/a";"n/a"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/publicipaddresses";;;"Standard";;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-connectivity-eastus2/providers/microsoft.network/publicipaddresses/pip-bastion-hub-eastus2";"pip-bastion-hub-eastus2";"eastus2";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:18:02";"01/21/2026 02:32:26";"passed";"pip-";"Public IP address"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/virtualnetworks";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-connectivity-eastus2/providers/microsoft.network/virtualnetworks/alz-hub-eastus2";"alz-hub-eastus2";"eastus2";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:18:02";"01/21/2026 00:28:04";"failed";"vnet-";"Virtual network"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/centralus.azure.local";"centralus.azure.local";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:18:14";"01/21/2026 00:28:45";"failed";"pdnsz-";"DNS zone"
